id,genreid,imdbid
309,6,8488126
310,5,3397884
311,6,3397884
312,9,3397884
313,7,3397884
314,4,3397884
315,15,815241
316,0,815241
317,8,815241
318,9,1255953
319,7,1255953
320,5,6723592
321,3,6723592
322,4,6723592
323,1,1226229
324,1,8367814
325,1,88930
326,1,1748122
327,1,9898858
328,1,348333
329,1,1645170
330,1,96928
331,1,101452
332,1,5164214
333,1,6521876
334,1,76729
335,1,6254796
336,1,910936
337,1,278488
338,1,120693
339,1,456554
340,1,365830
341,1,2788710
342,2,1226229
343,2,96928
344,2,101452
345,2,365830
346,6,8367814
347,6,1813757
348,6,9898858
349,6,102685
350,6,320661
351,6,5164214
352,6,6521876
353,6,463854
354,6,76729
355,6,910936
356,6,2788710
357,7,8367814
358,7,1813757
359,7,88930
360,7,9898858
361,7,102685
362,7,5164214
363,7,240772
364,7,910936
365,7,120693
366,3,1385826
367,3,1748122
368,3,96928
369,4,1385826
370,4,96928
371,4,101452
372,4,463854
373,5,1385826
374,5,88930
375,5,102685
376,5,240772
377,8,1813757
378,8,88930
379,9,1813757
380,9,320661
381,10,1748122
382,10,320661
383,11,1748122
384,12,320661
385,12,96928
386,12,101452
387,12,6521876
388,12,463854
389,12,76729
390,12,365830
391,12,2788710
392,13,320661
393,15,101452
394,15,278488
395,14,463854
396,17,365830
