id,title,description,director,country,year,language,image,imdbid
101,BETTY BLUE,"When the easygoing would-be novelist Zorg (Jean-Hugues Anglade) meets the tempestuous Betty (Béatrice Dalle, in a magnetic breakout performance) in a sunbaked French beach town, it’s the beginning of a whirlwind love affair that sees the pair turn their backs on conventional society in favor of the hedonistic pursuit of freedom, adventure, and carnal pleasure. But as the increasingly erratic Betty’s grip on reality begins to falter, Zorg finds himself willing to do things he never expected to protect both her fragile sanity and their tenuous existence together. Adapted from the hit novel37°2 le matinby Philippe Djian, Jean-Jacques Beineix’s art-house smash—presented here in its extended director’s cut—is a sexy, crazy, careening joyride of a romance that burns with the passion and beyond-reason fervor of all-consuming love.",Jean-Jacques Beineix,France,1986,French,https://s3.amazonaws.com/criterion-production/films/374aba96c6d088f549db6bfdfcfdc952/NXvOjh0NFLCxBARIs0E88NEgGKbUg0_large.jpg,0090563
102,BEWARE OF A HOLY WHORE,"In Rainer Werner Fassbinder’s brazen depiction of the alternating currents of lethargy and mayhem inherent in moviemaking, a film crew—played by, and not so loosely based on, his own frequent collaborators—deals with an aloof star (Eddie Constantine), an abusive director (Lou Castel), and a financially troubled production. Inspired by the hellish process of makingWhityearlier the same year, this is a vicious look at behind-the-scenes dysfunction.",Rainer Werner Fassbinder,Germany,1970,German,https://s3.amazonaws.com/criterion-production/films/16c6f613b1846df633cb7c46d2863e2e/5Ynu5q1SbC87sYRlXAwnxXnIQsXpzN_large.jpg,0067962
103,BEYOND THE HILLS,"With this arresting drama based on notorious real-life events, Cristian Mungiu mounts a complex inquiry into faith, fanaticism, and indifference. At a desolate Romanian monastery, a young novice nun, Voichița (Cosmina Stratan), reunites with her former companion Alina (Cristina Flutur), who plans to take her to Germany. But Voichița proves unwilling to abandon her calling, and Alina becomes increasingly desperate to reclaim her devotion, putting the outsider at odds with the monastery’s ascetic priest—and precipitating a painfully misguided, brutal attempt to save her soul. A naturalistic tragedy with the dark force of a folktale, anchored by the fraught dynamic between cinema newcomers Flutur and Stratan (who shared the best actress prize at Cannes),Beyond the Hillsbears powerful witness to individuals at cross-purposes and institutions ill-equipped to help those most in need.",Cristian Mungiu,Romania,2012,Romanian,https://s3.amazonaws.com/criterion-production/films/7e53562a1bc3ae00237eef595c1403a8/wIChDWmCVilmqMKIwe5NNXjw3cVGSA_large.jpg,2258281
104,BEYOND THE LAW,"Mailer’s belief that we’re all capable of being either police or criminals was the impetus for his second feature, which takes place over the course of one feverish night in a Manhattan police precinct and neighboring bar. The texture of the black-and-white stock and the intense depiction of the police lineup process lend the film a rugged, journalistic feel. In addition to Mailer, who cast himself as tough-guy Irish cop Francis Xavier Pope,Beyond the Lawfeatures Rip Torn and George Plimpton.",Norman Mailer,United States,1968,English,https://s3.amazonaws.com/criterion-production/films/b069abe928385f97336491824e25923b/MjNYU96ZyBqDUuGvnpoqXLFz6MVKPS_large.jpg,11161374
105,BEYOND THE VALLEY OF THE DOLLS,"In 1970, Twentieth Century-Fox, impressed by the visual zing “King of the Nudies” Russ Meyer had been bringing  to bargain-basement exploitation fare, handed the director a studio budget and the title to one of its biggest hits,Valley of the Dolls.With a satirical screenplay by Roger Ebert,Beyond the Valley of the Dollsfollows three young female rockers going Hollywood, in hell-bent sixties style, under the spell of a flamboyant producer—whose decadent bashes showcase Meyer’s trademark libidinal exuberance. Transgressive and outrageous, this big-studio version of a debaucherous midnight movie is an addictively entertaining romp from one of cinema’s great outsider artists.",Russ Meyer,United States,1970,English,https://s3.amazonaws.com/criterion-production/films/2167cc9cbbff1fb5f6d9da77048b9d62/XwfKpPZ10ASQ47REenWvU0tXFFUwKN_large.jpg,0065466
106,BICYCLE THIEVES,"Hailed around the world as one of the greatest movies ever made, the Academy Award–winningBicycle Thieves,directed by Vittorio De Sica, defined an era in cinema. In poverty-stricken postwar Rome, a man is on his first day of a new job that offers hope of salvation for his desperate family when his bicycle, which he needs for work, is stolen. With his young son in tow, he sets off to track down the thief. Simple in construction and profoundly rich in human insight,Bicycle Thievesembodies the greatest strengths of the Italian neorealist movement: emotional clarity, social rectitude, and brutal honesty.",Vittorio De Sica,Italy,1948,Italian,https://s3.amazonaws.com/criterion-production/films/a020c4272223b01fa84782ca7f80ef3b/EtDUUmNY6vAX9TcTq0uRKG4BVqToH3_large.jpg,0040522
107,THE BIG CHILL,"After the shocking suicide of their friend, a group of thirtysomethings reunite for his funeral and end up spending the weekend together, reminiscing about their shared past as children of the sixties and confronting the uncertainty of their lives as adults of the eighties. Poignant and warmly humorous in equal measure, this baby boomer milestone made a star of writer-director Lawrence Kasdan and is perhaps the decade’s defining ensemble film, featuring memorable performances by Tom Berenger, Glenn Close, Jeff Goldblum, William Hurt, Kevin Kline, Mary Kay Place, Meg Tilly, and JoBeth Williams. And with its playlist of sixties rock and R&B hits,The Big Chillall but invented the consummately curated soundtrack.",Lawrence Kasdan,United States,1983,English,https://s3.amazonaws.com/criterion-production/films/ace687c73ff2a89b78e73f7ed313e796/2H53DXvnDSCbuN3PlD0MhvPBtWLagJ_large.jpg,0085244
108,THE BIG CITY,"The Big City,the great Satyajit Ray’s first portrayal of contemporary life in his native Kolkata, follows the personal triumphs and frustrations of Arati (Madhabi Mukherjee), who decides, despite the initial protests of her bank-clerk husband, to take a job to help support their family. With remarkable sensitivity and attention to the details of everyday working-class life, Ray builds a powerful human drama that is at once a hopeful morality tale and a commentary on the identity of the modern Indian woman.",Satyajit Ray,India,1963,Bengali,https://s3.amazonaws.com/criterion-production/films/ebb3e6ce6778a7c588010b39cba076a8/GQbiSaCYwPh6PwpaBE6DWBLzID0Aqc_large.jpg,0057277
110,BIGGER THAN LIFE,"Though ignored at the time of its release, Nicholas Ray’sBigger Than Lifeis now recognized as one of the great American films of the 1950s. When a friendly, successful suburban teacher and father (James Mason, in one of his most indelible roles) is prescribed cortisone for a painful, possibly fatal affliction, he grows dangerously addicted to the experimental drug, resulting in his transformation into a psychotic and ultimately violent household despot. This Eisenhower-era throat-grabber, shot in expressive CinemaScope, is an excoriating take on the nuclear family. That it came in the day ofFather Knows Bestmakes it all the more shocking—and wildly entertaining.",Nicholas Ray,United States,1956,English,https://s3.amazonaws.com/criterion-production/films/d4d406ae48cd0fbfc78216e2efb5bf43/NEeX7phTkN3xjrd1deXb0RmokIXDG3_large.jpg,0049010
111,BILLY LIAR,"Tom Courtenay gives a flawlessly nuanced performance as Billy Fisher, the underachieving undertaker’s assistant whose constant daydreams and truth-deficient stories earn him the nickname “Billy Liar.” Julie Christie is the handbag-swinging charmer whose free spirit just might inspire Billy to finally move out of his parents’ house. Deftly veering from gritty realism to flamboyant fantasy,Billy Liaris a dazzling and uproarious classic.",John Schlesinger,United Kingdom,1963,English,https://s3.amazonaws.com/criterion-production/films/c81a1b649bd2025252c0d110b7ee9452/klKcHBRdhOpxleS4lzt62XrG5f4CPY_large.jpg,0056868
